ID_global,ID_colleccion,Name_Collecion,Link
21000,000,La vida no es sencilla,https://www.tiktok.com/@presocratico_/video/7190928533953334534
21001,001,La vida no es sencilla,https://www.tiktok.com/@josan.gtz/video/7244342141424618758
21002,002,La vida no es sencilla,https://www.tiktok.com/@sin.excusas/video/7244604449694436634
21003,003,La vida no es sencilla,https://www.tiktok.com/@presocratico_/video/7240881746042998022
21004,004,La vida no es sencilla,https://www.tiktok.com/@keelocuente/video/7239153438087597317
21005,005,La vida no es sencilla,https://www.tiktok.com/@axolotl.club/video/7072060001900170501
21006,006,La vida no es sencilla,https://www.tiktok.com/@andres_06_13/video/7211668958057925893
21007,007,La vida no es sencilla,https://www.tiktok.com/@ulises.desarrollo.p/video/7211213848248945926
21008,008,La vida no es sencilla,https://www.tiktok.com/@faridieck/video/7119497141185252613
21009,009,La vida no es sencilla,https://www.tiktok.com/@zeffcoronel/video/7119680744968047877
21010,010,La vida no es sencilla,https://www.tiktok.com/@elfatalistafeliz/video/7132157176877026565
21011,011,La vida no es sencilla,https://www.tiktok.com/@paulealb/video/6935285812665814278
21012,012,La vida no es sencilla,https://www.tiktok.com/@braisischanging/video/6985249016065871110
21013,013,La vida no es sencilla,https://www.tiktok.com/@espinozajuanok/video/7132471604172360966
21014,014,La vida no es sencilla,https://www.tiktok.com/@morisdieck/video/7225407477179813126
21015,015,La vida no es sencilla,https://www.tiktok.com/@saberesmillonarios/video/7213480470464515334
21016,016,La vida no es sencilla,https://www.tiktok.com/@morisdieck/video/7224295551410474246
21017,017,La vida no es sencilla,https://www.tiktok.com/@zat_616/video/7144437314721172742
21018,018,La vida no es sencilla,https://www.tiktok.com/@kostovaelfilosofo/video/7198265210040339717
